word_lc,cos_dist,count,root_word,lemma_count
delighted,1.0,0.95455,delighted,3
ecstatic,1.0,1.0,ecstatic,3
enchanted,1.0,1.0,enchanted,4
enthusiastic,1.0,0.90909,enthusiastic,1
happy,1.0,0.86364,happy,5
joyous,1.0,1.0,joyous,1
excited,0.81733,0.90909,thrilled,3
ecstatically,0.75955,1.0,ecstatic,1
enchanting,0.74295,1.0,enchanted,1
exultation,0.72514,0.95455,exultant,1
awed,0.70147,1.0,enraptured,3
gratified,0.70135,1.0,delighted,1
passionate,0.6973,0.90909,enthusiastic,1
eager,0.69706,0.95455,enthusiastic,2
joy,0.68385,0.95455,joyful,2
feverish,0.67526,0.90909,delirious,1
glad,0.67359,0.63636,happy,11
magical,0.66765,0.86364,enchanted,1
fascinated,0.6628,0.72727,enraptured,2
cheerful,0.66102,0.86364,joyful,7
enthusiastically,0.65424,0.86364,enthusiastic,3
engrossed,0.65163,0.95455,enraptured,2
triumphant,0.6515,1.0,exultant,1
astounded,0.64355,0.95455,overjoyed,1
elation,0.63829,0.90909,euphoric,1
amazed,0.6351,0.95455,overjoyed,1
ecstasy,0.624,0.81818,euphoric,1
stunned,0.61849,0.95455,overjoyed,1
grateful,0.60546,0.77273,happy,1
enthusiasm,0.60389,0.81818,enthusiastic,3
riotous,0.59692,0.90909,joyous,2
glorious,0.59499,0.95455,joyous,1
heady,0.59154,0.95455,euphoric,1
fervent,0.5912,0.95455,enthusiastic,1
breathless,0.59096,0.95455,rapturous,3
hysterical,0.57438,0.95455,delirious,1
jovial,0.57186,0.86364,jubilant,1
overwhelmed,0.57005,0.90909,elated,1
boisterously,0.56567,1.0,jubilant,1
excitedly,0.55822,0.86364,overjoyed,5
triumphantly,0.55392,1.0,exultant,2
exult,0.54449,0.95455,exultant,1
incredulous,0.54222,0.95455,elated,3
delight,0.54087,0.95455,delighted,2
sensuous,0.53833,0.81818,rapturous,2
frantic,0.53807,0.90909,delirious,1
orgastic,0.53683,0.63636,orgasmic,1
magic,0.53356,0.13636,enchanted,2
wonderful,0.52909,0.86364,joyous,1
enchant,0.5228,0.18182,enchanted,1
impassioned,0.52041,0.95455,enthusiastic,4
fantastic,0.51637,0.81818,delighted,7
lustily,0.51619,0.90909,exultant,1
luxuriate,0.51604,0.95455,blissful,1
ravage,0.51194,0.18182,ravished,1
exciting,0.51086,0.77273,thrilled,3
thrilling,0.50899,1.0,joyous,3
gaiety,0.50653,0.72727,joyous,5
cheer,0.50578,0.63636,jubilant,1
bewitch,0.50274,0.54545,enchanted,1
happiness,0.49515,0.68182,joyful,2
melodious,0.49233,0.90909,joyous,1
reverie,0.48721,0.77273,blissful,1
transcendent,0.48694,0.77273,beatific,1
dazzling,0.48625,0.90909,rapturous,1
glowing,0.48529,0.95455,rapturous,1
amazing,0.48362,0.86364,thrilled,2
breathlessly,0.48142,1.0,exultant,3
vibrant,0.47757,1.0,joyful,1
splendid,0.47707,0.95455,joyous,2
laughter,0.47678,0.90909,joyous,13
excitement,0.47606,0.86364,ecstatic,7
marvellous,0.47584,0.95455,delighted,1
fascination,0.47285,0.63636,enraptured,1
redolent,0.46662,0.72727,rhapsodic,2
ravenously,0.46404,0.77273,enraptured,1
crescendo,0.46304,0.59091,exultant,1
thrill,0.44937,1.0,euphoric,3
