,a,about,above,across,after,afterwards,again,against,all,almost,alone,along,already,also,although,always,am,among,amongst,amount,an,and,another,any,anyhow,anyone,anything,anyway,anywhere,are,around,as,at,back,be,became,because,become,becomes,becoming,been,before,behind,being,below,beside,besides,between,beyond,both,bottom,but,by,ca,call,can,could,did,do,does,doing,done,down,due,during,each,eight,either,eleven,else,elsewhere,empty,enough,even,ever,every,everyone,everything,everywhere,except,few,fifteen,fifty,first,five,for,former,formerly,forty,four,from,front,full,further,get,give,go,had,has,have,he,hence,her,here,hereafter,hereby,hers,herself,him,himself,his,how,however,hundred,i,if,in,indeed,into,is,it,its,itself,just,keep,last,latter,least,less,made,make,many,may,me,meanwhile,might,mine,more,moreover,most,mostly,move,much,must,my,myself,name,neither,never,nevertheless,next,nine,no,nobody,none,nor,not,nothing,now,nowhere,of,off,often,on,once,one,only,onto,or,other,others,otherwise,our,ours,ourselves,out,over,own,part,per,perhaps,please,put,quite,rather,re,really,regarding,same,say,see,seem,seemed,seeming,seems,serious,several,she,should,show,side,since,six,sixty,so,some,somehow,someone,something,sometime,sometimes,somewhere,still,such,take,ten,than,that,the,their,them,themselves,then,there,thereafter,thereby,therefore,therein,thereupon,these,they,third,this,those,though,three,through,throughout,thus,to,together,too,top,toward,towards,twelve,twenty,two,under,unless,until,up,upon,us,used,using,various,very,was,we,well,were,what,whatever,when,whence,whenever,where,whereas,wherein,whereupon,wherever,whether,which,while,whither,who,whoever,whole,whom,whose,why,will,with,within,without,would,yet,you,your,yours,yourself,yourselves,tbook,author
0,55,5,1,1,1,0,0,2,8,2,0,0,0,0,0,0,1,0,0,0,2,48,1,4,0,0,2,1,1,5,3,17,19,8,8,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,13,4,0,1,5,7,4,4,0,1,1,4,0,0,0,0,0,0,1,0,1,1,2,3,7,0,0,0,0,0,0,0,6,0,13,0,0,0,0,12,0,1,0,0,1,2,15,2,6,37,0,3,4,0,0,0,0,8,1,26,3,0,0,19,4,22,1,3,6,16,3,0,2,3,1,0,0,1,4,1,1,1,7,1,1,0,6,0,2,1,0,0,2,3,0,0,0,1,0,0,0,6,0,0,1,6,1,3,0,42,5,2,14,1,1,1,0,0,5,2,0,0,0,0,0,4,0,1,0,1,0,0,2,4,0,0,0,1,2,4,1,0,0,0,0,0,3,0,0,0,1,0,0,7,4,0,2,1,0,0,0,1,2,1,0,5,17,113,2,3,1,4,5,0,0,1,0,0,0,10,1,9,1,0,0,6,0,0,43,1,3,1,2,0,0,1,2,3,0,2,3,1,0,0,0,0,5,29,9,2,10,6,0,8,0,0,2,0,0,0,0,1,1,1,0,3,0,0,0,1,2,7,7,0,0,6,1,13,3,0,0,0,Cowardly_lion_of_oz,T
1,48,5,0,0,3,0,1,0,9,2,0,1,0,0,0,0,2,0,0,0,4,64,4,2,0,2,1,0,0,2,0,16,9,6,9,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,5,3,0,0,4,3,2,4,0,0,1,8,0,0,1,1,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,2,1,15,0,0,0,1,7,1,1,1,1,0,4,17,0,6,30,0,4,4,0,0,0,0,14,1,29,2,0,0,24,7,22,0,4,3,20,0,1,1,1,2,0,0,0,2,1,1,1,2,0,0,1,3,0,3,0,0,1,3,6,1,0,0,1,0,2,1,6,0,0,0,16,2,3,0,42,4,1,15,1,4,3,0,3,2,0,0,1,0,0,7,7,0,1,0,1,0,1,2,0,0,0,1,2,2,5,0,0,0,0,0,2,4,0,0,0,0,0,0,4,2,0,0,1,0,0,0,1,1,0,0,7,19,111,3,6,1,8,5,0,0,0,0,0,0,8,0,11,0,0,2,5,0,0,47,1,4,0,1,0,0,0,3,1,0,0,9,0,6,0,0,0,2,9,7,5,9,5,0,5,0,0,2,0,0,0,0,0,1,1,0,4,0,1,0,0,6,1,15,0,0,7,1,17,5,0,0,0,Cowardly_lion_of_oz,T
2,36,2,0,0,3,0,2,1,13,2,0,1,0,0,0,0,0,1,0,0,1,57,3,1,0,0,0,0,1,9,2,16,11,6,8,0,4,0,0,0,2,3,0,2,1,0,0,0,0,0,0,15,3,0,1,3,3,6,7,0,0,1,5,0,1,3,0,0,0,0,0,0,4,2,3,1,1,0,0,0,1,0,0,3,0,14,0,0,0,0,1,0,2,0,2,2,2,19,2,8,24,0,2,6,0,0,0,0,6,1,22,3,1,0,27,4,27,0,9,8,15,0,1,6,2,1,0,0,0,4,0,3,1,2,0,1,0,4,0,0,1,0,3,2,1,1,0,0,6,0,1,3,8,0,0,1,12,1,3,0,33,3,1,10,2,7,2,0,0,4,1,0,0,0,0,6,3,0,1,0,0,0,2,2,3,0,0,0,1,4,4,2,0,0,0,1,1,2,1,1,0,4,0,0,9,3,0,0,2,0,0,0,1,1,0,0,4,11,106,3,4,1,5,7,0,0,0,0,0,5,10,0,9,1,2,0,1,0,1,50,2,1,1,1,0,0,0,5,1,0,2,10,0,2,0,0,0,1,18,7,4,9,3,0,6,0,0,1,0,0,0,0,1,2,1,0,2,0,1,1,1,3,1,17,0,3,6,0,19,2,1,0,2,Cowardly_lion_of_oz,T
3,52,4,0,0,0,0,2,3,7,1,0,3,0,0,0,2,1,0,0,0,4,68,0,1,0,0,0,0,0,8,3,12,12,4,10,0,1,0,0,0,3,3,0,0,1,1,1,0,0,1,2,9,4,0,2,2,3,3,7,0,1,1,4,0,0,2,0,0,0,0,0,0,2,2,0,6,0,0,0,0,2,0,0,3,0,20,0,0,0,3,6,0,0,1,2,0,2,16,0,8,24,0,2,3,0,0,0,0,7,3,42,2,0,0,16,3,22,0,5,4,18,1,0,3,0,0,0,0,0,2,1,5,0,4,0,2,0,1,0,1,0,0,3,0,3,0,0,0,2,0,1,1,5,0,0,0,8,2,1,0,23,6,0,12,1,5,3,0,2,5,1,0,2,0,0,8,4,1,1,0,2,1,1,4,2,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,1,1,2,0,8,1,1,0,0,0,0,0,1,1,2,1,4,19,124,5,3,0,7,2,0,0,0,0,0,1,7,1,11,1,4,1,3,0,0,43,2,3,2,1,0,0,0,3,3,0,3,7,4,3,0,0,0,3,22,6,3,5,11,0,3,0,0,2,0,0,0,0,0,0,2,0,2,0,2,1,0,5,3,9,0,1,4,0,16,4,0,0,1,Cowardly_lion_of_oz,T
4,41,4,0,0,1,0,1,2,5,2,0,0,0,0,0,2,1,0,0,0,3,53,2,2,0,1,1,0,0,2,2,16,18,3,5,0,4,0,0,0,4,2,1,1,0,2,0,1,0,0,0,12,7,0,1,4,6,2,7,1,0,1,10,0,0,0,0,0,0,1,0,0,2,2,2,2,0,0,0,0,2,0,0,3,0,14,0,0,0,2,8,0,1,1,2,1,2,18,2,7,32,0,3,2,0,0,0,1,6,2,28,1,0,0,19,5,18,0,0,8,20,1,0,3,1,3,0,0,0,3,2,0,1,5,0,1,0,2,0,0,0,0,2,3,2,0,0,0,6,0,0,2,4,0,0,2,8,0,1,0,38,4,2,12,2,4,1,0,5,2,0,0,0,0,0,2,3,1,0,0,0,0,1,2,1,0,2,0,1,0,5,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,0,0,1,0,0,0,2,1,2,0,2,21,138,8,2,0,3,4,0,0,0,0,0,1,12,1,9,1,4,2,2,0,0,46,1,4,1,0,0,0,0,0,1,0,1,13,0,2,1,0,0,3,18,8,3,9,6,0,1,0,0,1,0,0,0,0,1,1,3,0,6,0,0,2,0,1,4,18,0,0,7,0,13,4,1,0,0,Cowardly_lion_of_oz,T
5,50,6,1,2,5,0,1,1,8,1,0,1,2,1,0,2,0,0,0,0,3,56,2,3,0,0,0,0,0,6,1,6,10,3,13,0,1,0,1,0,3,0,2,0,0,1,0,0,1,0,0,12,1,0,0,2,5,4,5,0,0,1,6,0,0,0,0,0,0,1,0,0,2,1,1,3,0,1,0,0,0,0,0,5,0,11,1,0,0,3,4,0,0,0,0,0,4,17,0,7,24,0,4,1,0,0,0,0,6,2,37,2,0,0,33,2,23,1,3,7,19,2,0,3,1,2,0,0,0,1,3,1,0,2,0,2,0,5,0,1,0,1,1,1,4,2,1,0,5,0,0,1,5,1,0,0,10,1,2,0,33,4,0,11,0,9,1,0,2,1,0,0,0,0,0,8,8,0,0,1,0,0,2,1,0,0,0,0,2,0,10,0,0,0,0,0,0,2,1,0,0,0,0,0,12,1,1,3,2,0,0,0,1,0,1,0,2,16,117,2,3,1,12,5,0,0,0,0,0,1,9,0,1,1,1,2,0,0,1,45,1,4,0,3,0,0,0,4,2,0,0,12,4,2,0,0,0,2,21,7,1,5,3,0,5,0,0,0,0,0,0,0,1,1,3,0,3,0,3,0,0,4,6,17,0,1,8,0,20,9,0,0,0,Cowardly_lion_of_oz,T
6,43,2,1,1,1,0,2,2,14,2,0,1,1,0,0,0,1,0,0,0,3,55,1,2,0,0,1,0,0,7,3,21,17,1,6,0,1,0,0,0,2,2,2,3,0,1,0,0,0,0,0,11,4,0,1,1,4,1,6,2,0,1,10,0,0,4,0,1,0,0,0,0,2,2,3,1,0,1,0,0,5,0,0,3,1,12,0,0,0,1,6,0,0,0,1,2,2,24,0,7,39,0,3,0,0,0,0,0,10,7,29,3,0,1,24,4,25,0,4,9,11,3,0,1,1,0,0,0,0,4,0,1,0,5,0,1,0,3,0,2,0,0,2,3,4,1,0,1,5,0,1,0,4,0,0,0,13,1,3,0,36,3,0,11,1,6,6,0,4,3,2,0,0,0,0,6,1,0,0,0,0,0,1,1,2,0,0,0,0,0,3,1,0,0,0,0,1,5,2,1,0,1,0,0,4,1,0,1,1,0,0,0,0,1,4,0,2,8,114,7,2,0,5,6,0,0,0,0,0,1,11,0,9,0,1,2,5,0,1,44,1,2,0,0,1,1,1,1,1,0,2,9,0,5,0,0,0,2,18,3,4,7,7,1,4,0,0,1,0,0,0,0,0,0,4,0,6,0,2,0,0,1,3,13,0,0,3,1,19,2,0,2,0,Cowardly_lion_of_oz,T
7,37,4,0,0,3,0,1,1,6,0,0,1,0,0,0,2,2,1,0,0,4,72,2,4,0,0,1,1,0,5,0,13,11,2,8,0,0,0,1,0,3,4,1,1,0,0,0,0,0,2,0,11,3,0,3,2,8,4,8,2,0,1,6,0,0,1,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,0,0,2,0,20,0,0,0,0,8,0,3,0,1,1,4,16,1,6,37,0,0,3,0,0,0,0,9,3,30,2,0,0,21,7,23,0,3,9,24,1,0,2,1,1,0,0,1,1,3,1,0,5,0,2,0,5,0,2,0,0,3,1,4,2,0,1,2,0,1,0,7,0,0,0,7,4,3,0,32,2,0,15,2,8,3,0,2,2,1,1,3,0,0,6,4,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,5,5,0,0,1,0,0,0,3,0,2,2,1,13,120,5,2,0,6,3,0,0,0,0,0,2,14,0,12,0,1,1,5,0,0,46,3,1,1,1,0,0,0,3,2,0,0,7,3,3,0,0,0,0,20,10,2,10,5,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,3,11,0,0,5,1,13,4,1,0,0,Cowardly_lion_of_oz,T
8,42,3,0,0,2,0,1,0,7,0,0,1,1,0,0,0,0,1,0,0,12,57,3,3,0,0,0,0,0,2,1,18,21,4,4,0,0,0,0,0,3,2,0,2,1,3,0,0,0,0,0,12,4,0,1,2,9,3,7,1,0,1,9,0,0,0,0,1,0,1,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,1,1,0,2,2,9,1,2,25,0,3,3,0,0,0,0,9,2,31,4,1,0,34,11,17,1,1,9,19,0,0,3,0,1,0,0,0,4,2,1,1,4,0,0,0,1,0,0,0,2,0,1,3,0,1,1,2,0,1,1,3,0,0,0,14,0,6,0,39,2,0,15,0,4,2,0,7,1,0,0,0,0,1,8,5,1,0,0,1,0,2,2,1,0,1,0,0,0,4,0,1,0,0,0,0,0,1,1,2,2,1,0,8,0,0,0,1,0,0,0,1,1,3,0,3,11,117,3,4,0,10,4,0,0,0,0,0,0,17,1,11,0,0,2,4,0,0,43,1,1,1,1,1,0,0,3,4,0,3,6,2,4,0,0,0,5,14,15,0,7,6,0,3,0,0,0,0,0,0,0,1,0,4,0,2,0,1,2,0,3,3,15,0,1,3,0,27,5,0,1,1,Cowardly_lion_of_oz,T
9,39,5,0,0,2,0,2,0,9,2,0,1,1,2,0,1,2,0,0,0,0,55,1,3,0,0,2,0,0,3,3,15,16,2,3,1,0,0,0,0,3,4,1,1,0,1,0,0,0,1,0,7,1,0,2,0,4,3,2,1,0,0,7,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,3,0,19,0,0,0,2,9,1,3,0,3,0,2,15,1,10,37,0,2,3,0,0,0,1,11,7,28,3,0,1,30,8,24,0,2,4,16,3,2,1,1,0,0,0,0,4,2,0,0,2,0,1,0,0,0,2,0,0,2,1,8,3,1,0,1,0,0,2,6,1,0,0,5,3,7,1,40,4,0,13,5,6,1,0,2,2,0,0,1,0,0,10,3,0,0,0,0,0,2,4,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0,8,0,0,0,2,0,0,0,0,1,1,0,1,9,125,6,8,1,5,6,0,0,0,0,0,0,10,1,14,0,0,1,3,0,0,39,1,1,0,2,0,1,0,1,4,0,2,11,1,2,1,0,0,5,22,7,2,9,4,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0,3,3,14,0,0,5,0,25,2,0,0,1,Cowardly_lion_of_oz,T
