,a,about,above,across,after,afterwards,again,against,all,almost,alone,along,already,also,although,always,am,among,amongst,amount,an,and,another,any,anyhow,anyone,anything,anyway,anywhere,are,around,as,at,back,be,became,because,become,becomes,becoming,been,before,behind,being,below,beside,besides,between,beyond,both,bottom,but,by,ca,call,can,could,did,do,does,doing,done,down,due,during,each,eight,either,eleven,else,elsewhere,empty,enough,even,ever,every,everyone,everything,everywhere,except,few,fifteen,fifty,first,five,for,former,formerly,forty,four,from,front,full,further,get,give,go,had,has,have,he,hence,her,here,hereafter,hereby,hers,herself,him,himself,his,how,however,hundred,i,if,in,indeed,into,is,it,its,itself,just,keep,last,latter,least,less,made,make,many,may,me,meanwhile,might,mine,more,moreover,most,mostly,move,much,must,my,myself,name,neither,never,nevertheless,next,nine,no,nobody,none,nor,not,nothing,now,nowhere,of,off,often,on,once,one,only,onto,or,other,others,otherwise,our,ours,ourselves,out,over,own,part,per,perhaps,please,put,quite,rather,re,really,regarding,same,say,see,seem,seemed,seeming,seems,serious,several,she,should,show,side,since,six,sixty,so,some,somehow,someone,something,sometime,sometimes,somewhere,still,such,take,ten,than,that,the,their,them,themselves,then,there,thereafter,thereby,therefore,therein,thereupon,these,they,third,this,those,though,three,through,throughout,thus,to,together,too,top,toward,towards,twelve,twenty,two,under,unless,until,up,upon,us,used,using,various,very,was,we,well,were,what,whatever,when,whence,whenever,where,whereas,wherein,whereupon,wherever,whether,which,while,whither,who,whoever,whole,whom,whose,why,will,with,within,without,would,yet,you,your,yours,yourself,yourselves,tbook,author
0,28,3,0,0,2,0,7,0,6,0,0,0,0,2,1,2,2,2,0,1,3,59,1,3,0,1,1,0,0,4,4,12,14,3,10,0,3,1,0,0,1,3,1,2,2,1,0,0,0,0,0,15,2,2,0,4,4,6,12,1,0,0,1,0,0,4,0,1,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,7,0,0,0,1,2,3,7,3,4,17,0,7,1,0,0,0,2,6,1,11,0,0,0,28,7,31,2,1,11,13,2,0,2,0,0,0,0,0,2,1,3,1,3,0,1,0,1,0,1,0,0,6,1,11,0,0,1,2,0,2,0,3,0,1,0,6,1,0,0,42,0,0,8,3,8,1,0,3,5,0,0,1,0,0,2,2,4,0,0,0,1,0,0,1,0,2,0,0,1,7,0,1,1,1,0,1,8,0,1,2,0,2,0,6,2,0,0,0,0,0,0,1,1,2,0,3,11,132,6,11,0,7,4,0,0,0,0,0,2,18,0,8,1,1,2,2,0,0,46,2,2,4,0,0,0,0,1,1,0,2,4,6,3,0,0,0,2,26,7,3,11,3,1,2,0,0,6,0,0,0,0,0,5,2,0,3,0,0,0,0,4,8,18,0,2,4,1,20,1,0,0,0,Dorothy_and_the_wizard_in_oz,B
1,35,2,0,3,1,0,2,0,7,3,2,3,0,1,3,0,3,1,0,0,1,54,0,1,0,1,1,0,0,5,1,6,12,2,9,0,2,1,0,0,6,4,0,1,0,2,0,0,3,0,0,12,5,3,0,4,5,8,6,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,12,0,0,0,0,5,0,0,0,4,0,0,13,3,7,17,0,9,2,0,0,0,2,4,0,9,3,0,1,26,5,29,1,5,12,21,2,0,3,0,0,0,2,0,6,0,1,1,6,0,0,0,4,0,1,0,0,2,1,4,2,0,0,3,0,0,3,4,0,0,1,9,0,1,0,43,2,0,4,2,9,0,0,0,1,1,0,2,0,0,9,1,2,1,0,1,1,1,3,0,0,0,0,1,0,2,0,0,0,0,0,3,16,0,1,1,0,0,0,18,3,0,0,1,0,1,0,2,4,0,0,1,18,127,6,9,3,7,2,0,0,0,0,0,0,23,1,7,3,0,0,1,0,0,48,0,1,0,1,0,0,0,1,2,1,1,4,3,1,2,0,0,2,15,13,1,6,3,0,9,0,0,5,0,0,0,1,2,6,2,0,4,0,0,0,0,2,2,13,0,1,4,0,22,1,0,1,0,Dorothy_and_the_wizard_in_oz,B
2,32,1,0,0,1,0,2,0,9,1,0,0,0,1,0,1,4,0,0,0,3,54,0,3,1,0,0,0,0,8,1,8,7,4,8,0,0,0,0,0,0,4,0,2,0,1,0,1,0,1,0,13,4,3,0,3,2,6,6,0,0,0,2,0,0,2,1,0,0,1,0,0,2,3,5,0,0,1,0,0,0,0,0,4,0,3,0,0,0,1,2,1,0,0,3,1,3,13,2,7,16,0,10,2,0,0,0,0,3,0,17,1,1,0,32,3,25,0,5,13,19,5,0,2,0,0,0,0,0,4,1,3,2,7,0,1,0,3,0,2,0,0,2,4,4,0,0,0,4,0,1,3,6,0,0,0,8,0,5,0,50,0,1,6,2,7,1,0,5,3,1,0,5,0,1,3,4,1,0,0,1,2,5,1,0,0,1,0,0,0,3,1,0,0,0,1,0,6,0,1,1,0,1,0,13,5,0,0,0,0,1,0,0,0,0,0,1,16,127,7,16,0,4,4,0,0,0,0,0,4,19,0,9,3,0,0,1,0,0,56,3,0,1,0,0,0,0,3,1,0,2,3,2,0,0,0,0,4,15,15,0,13,8,0,6,0,0,5,0,0,0,0,2,3,2,0,3,0,0,0,0,6,3,10,0,2,2,0,17,3,0,0,0,Dorothy_and_the_wizard_in_oz,B
3,34,2,0,1,5,0,8,0,15,1,0,1,0,1,1,2,2,0,0,0,0,70,3,0,0,0,2,0,0,4,3,14,9,0,9,2,3,0,0,0,1,1,1,5,0,0,0,0,0,0,0,15,3,1,1,5,2,2,13,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,2,1,0,1,0,0,1,0,0,1,0,9,0,0,0,2,1,0,0,1,2,1,1,14,3,7,16,0,7,3,0,0,0,0,5,0,7,2,0,0,30,6,22,0,6,12,20,2,0,4,0,2,0,1,1,3,2,3,0,4,0,1,0,1,0,0,0,0,4,2,3,0,0,0,4,0,0,1,4,0,0,1,10,1,6,0,42,1,1,3,1,8,0,1,2,1,1,0,5,0,0,2,3,0,0,0,0,0,4,1,0,0,0,0,2,1,3,0,2,0,0,0,1,6,0,1,1,1,0,1,8,2,0,0,0,0,0,0,2,1,2,0,4,15,136,7,8,0,5,3,0,0,0,0,0,4,25,1,7,4,0,0,2,0,0,39,0,1,1,2,0,0,1,1,0,0,4,4,3,4,1,0,0,1,18,9,3,10,5,1,9,0,0,3,0,0,0,0,0,4,1,0,5,0,1,0,0,0,4,16,0,0,7,2,18,0,0,0,0,Dorothy_and_the_wizard_in_oz,B
4,26,0,0,0,2,0,4,0,10,1,1,0,0,0,0,2,0,0,0,0,1,68,2,5,0,0,1,0,0,14,3,12,13,3,13,2,2,0,0,1,1,0,0,5,0,1,0,2,0,3,1,10,7,1,0,3,5,3,10,0,2,1,1,0,0,1,0,0,1,0,0,0,1,1,2,2,0,0,0,0,1,0,0,1,2,11,0,0,0,3,8,0,1,1,0,0,4,8,1,7,8,0,5,0,0,0,0,1,3,2,11,0,0,1,24,4,26,0,5,15,17,3,0,4,2,0,0,1,0,1,1,3,3,3,0,1,0,3,0,0,0,0,5,4,9,0,1,1,4,1,1,1,7,1,0,2,5,1,4,0,30,2,2,7,2,8,1,0,6,3,0,1,5,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,0,10,0,0,1,1,1,1,12,1,0,0,0,0,0,0,1,1,2,0,1,17,130,3,12,1,6,6,0,0,0,0,0,2,17,1,9,1,0,0,1,0,0,47,1,0,1,2,0,0,0,4,1,0,0,8,3,4,1,0,0,3,19,10,0,9,4,0,4,0,0,4,0,0,0,0,0,4,0,0,1,0,2,0,0,1,5,13,0,0,2,2,21,8,0,0,0,Dorothy_and_the_wizard_in_oz,B
5,36,5,0,0,1,0,2,0,3,1,0,0,1,0,0,1,2,0,0,0,3,61,0,4,0,0,1,0,0,5,5,17,13,0,9,1,3,0,0,0,3,1,0,1,0,0,0,0,0,2,0,10,3,3,1,6,4,2,6,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,2,0,15,0,0,0,1,1,0,1,0,3,0,2,10,0,5,22,0,8,2,0,0,0,1,3,0,8,0,0,0,19,2,28,0,6,12,15,1,0,4,0,0,0,0,0,3,0,3,0,5,0,1,0,4,0,1,0,0,5,7,3,0,0,1,3,0,2,1,9,0,0,2,11,2,7,0,40,0,0,6,3,6,2,0,3,3,2,0,3,0,1,6,3,3,0,0,0,0,1,2,0,0,0,0,0,0,7,0,1,0,1,0,4,8,1,0,0,1,1,0,7,1,0,0,2,0,2,0,2,1,1,0,4,21,142,4,15,0,5,10,0,0,0,0,0,1,17,1,7,1,0,1,2,0,0,40,1,0,1,1,0,0,0,1,0,0,3,5,3,3,0,0,0,2,18,11,1,9,3,0,5,0,0,3,0,0,0,0,1,9,2,0,5,0,0,0,0,2,8,15,0,1,5,0,16,1,0,1,0,Dorothy_and_the_wizard_in_oz,B
6,36,4,2,0,4,0,2,0,17,1,0,0,0,3,2,2,0,0,0,0,1,60,1,3,1,0,0,0,0,8,2,7,13,2,8,1,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,14,2,1,0,3,10,5,10,1,0,0,2,0,0,2,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,2,1,12,0,0,0,0,3,1,0,0,1,0,0,12,2,6,12,0,12,4,0,0,0,1,8,0,10,3,0,0,18,7,29,0,6,11,17,5,0,3,1,0,0,1,0,1,1,0,1,7,0,2,1,2,0,0,0,0,3,3,4,3,0,0,4,0,1,0,9,0,1,0,6,1,1,0,52,2,0,4,1,9,1,0,9,3,1,1,1,0,1,3,1,0,1,0,0,1,1,1,0,0,2,0,0,0,4,2,2,0,0,0,1,9,0,0,1,1,1,0,16,4,0,0,0,0,1,0,0,1,2,0,3,11,113,8,12,1,5,3,0,0,0,0,0,3,21,0,5,3,0,0,3,0,0,44,2,1,4,0,0,0,0,4,1,1,2,2,4,3,0,0,0,6,15,14,1,7,10,1,3,0,0,5,0,0,0,0,1,6,1,0,4,0,0,0,0,1,3,11,0,1,6,0,20,3,0,0,0,Dorothy_and_the_wizard_in_oz,B
7,37,4,0,0,1,0,2,0,7,1,0,0,0,1,1,1,1,0,0,0,3,66,2,1,0,0,1,0,1,3,3,11,7,3,8,1,4,0,0,0,2,1,0,2,0,0,0,1,0,0,0,14,7,1,0,8,11,4,6,0,0,0,2,0,0,2,1,0,0,0,0,0,2,1,3,1,0,1,0,0,2,0,0,3,0,15,0,0,0,2,4,1,1,0,3,1,2,8,2,7,14,0,9,2,0,0,0,0,4,1,12,0,0,1,19,5,28,0,2,6,20,4,0,5,0,1,0,1,0,6,3,0,2,3,0,3,0,4,0,1,0,1,2,2,8,0,0,1,2,0,0,1,3,0,0,0,11,1,2,0,35,2,1,9,4,3,0,0,3,1,1,0,2,0,1,11,3,0,1,0,0,1,0,0,1,0,1,0,0,0,5,0,2,0,1,0,2,8,1,0,0,1,1,0,17,4,0,0,3,0,0,0,0,1,1,0,6,18,117,6,15,1,12,6,0,0,0,0,0,2,11,0,8,3,0,1,4,0,0,50,1,0,0,2,0,0,0,1,2,0,0,5,2,2,1,0,0,3,19,7,0,10,4,1,8,0,0,5,0,0,0,0,0,2,2,0,6,0,1,0,0,2,3,17,0,1,5,0,17,3,0,0,0,Dorothy_and_the_wizard_in_oz,B
8,41,2,0,0,2,0,2,0,6,1,2,0,0,2,2,0,0,0,0,0,4,60,1,2,0,0,0,0,0,8,3,11,10,4,16,0,1,1,0,0,3,3,0,2,0,1,0,1,0,1,0,13,4,0,0,4,3,1,6,0,0,0,7,0,0,2,1,0,0,0,0,0,2,1,3,1,0,1,0,0,1,0,0,3,0,17,1,0,0,1,6,0,0,0,2,0,2,16,1,2,18,0,8,4,1,0,0,0,8,0,6,0,1,0,18,7,25,1,4,11,20,2,0,4,0,2,0,1,0,3,1,2,1,5,0,0,0,3,0,1,0,0,4,6,3,0,3,1,1,0,0,0,6,0,1,0,10,0,4,0,32,1,0,5,2,4,1,0,2,4,0,0,5,0,0,7,3,0,0,0,2,0,2,1,1,0,0,0,0,0,8,0,4,0,0,0,1,6,0,0,2,0,0,0,14,5,0,0,0,0,0,0,1,1,2,0,2,28,134,7,8,0,2,5,0,0,0,0,0,4,16,0,6,0,2,1,0,0,0,37,1,0,0,1,0,0,0,0,1,0,2,2,6,2,1,0,0,6,17,7,4,10,5,0,5,0,1,4,0,0,0,0,0,3,1,0,2,0,2,0,0,1,7,12,0,2,7,0,27,4,0,0,0,Dorothy_and_the_wizard_in_oz,B
9,41,0,0,0,2,0,8,0,11,1,0,2,0,2,0,0,0,1,0,0,2,74,3,2,0,0,0,0,0,7,0,11,7,8,14,1,1,1,0,0,5,1,0,1,0,0,0,1,0,1,0,11,7,3,0,4,7,3,3,0,0,0,3,0,0,0,0,1,0,1,0,0,2,1,2,2,0,1,0,1,1,0,0,1,0,8,0,0,0,0,8,0,0,0,2,0,0,8,2,3,16,0,13,4,0,0,0,0,5,1,13,2,0,0,32,4,24,0,5,6,17,1,0,1,1,1,0,0,0,2,3,4,0,2,0,0,0,1,0,0,0,0,1,1,10,1,0,0,2,0,0,0,9,0,0,0,14,0,1,0,43,1,0,3,2,14,3,0,5,1,1,0,4,0,0,7,3,2,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,2,9,1,0,0,0,0,0,14,2,0,0,1,0,0,0,2,0,3,0,2,19,130,5,7,1,5,6,0,0,0,0,0,2,15,2,9,1,0,0,2,0,0,33,4,1,3,1,0,0,0,2,1,1,1,8,4,2,0,0,0,4,19,12,3,7,2,0,4,0,0,5,0,0,0,0,0,3,4,0,3,0,0,0,0,2,4,14,2,0,2,1,17,3,0,1,1,Dorothy_and_the_wizard_in_oz,B
