token_ID_within_document,word,lemma,before,after
0,In,in,#, 
1,my,my,#, 
2,younger,young,#, 
3,and,and,#, 
4,more,more,#, 
5,vulnerable,vulnerable,#, 
6,years,year,#, 
7,my,my,#, 
8,father,father,#, 
9,gave,give,#, 
10,me,I,#, 
11,some,some,#, 
12,advice,advice,#, 
13,that,that,#, 
14,I,I,#,#
15,’ve,’ve,#, 
16,been,be,#, 
17,turning,turn,#, 
18,over,over,#, 
19,in,in,#, 
20,my,my,#, 
21,mind,mind,#, 
22,ever,ever,#, 
23,since,since,#,#
24,.,.,#, 
25,"""",121,#,#
26,Whenever,whenever,#, 
27,you,you,#, 
28,feel,feel,#, 
29,like,like,#, 
30,criticizing,criticize,#, 
31,anyone,anyone,#,#
32,",",",",#,#
33,"""",164,#, 
34,he,he,#, 
35,told,tell,#, 
36,me,I,#,#
37,",",",",#, 
38,"""",178,#,#
39,just,just,#, 
40,remember,remember,#, 
41,that,that,#, 
42,all,all,#, 
43,the,the,#, 
44,people,people,#, 
45,in,in,#, 
46,this,this,#, 
47,world,world,#, 
48,have,have,#,#
49,n’t,not,#, 
50,had,have,#, 
51,the,the,#, 
52,advantages,advantage,#, 
53,that,that,#, 
54,you,you,#,#
55,’ve,’ve,#, 
56,had,have,#,#
57,.,.,#,#
58,"""",270,#, 
59,He,he,#, 
60,did,do,#,#
61,n’t,not,#, 
62,say,say,#, 
63,any,any,#, 
64,more,more,#,#
65,",",",",#, 
66,but,but,#, 
67,we,we,#,#
68,’ve,’ve,#, 
69,always,always,#, 
70,been,be,#, 
71,unusually,unusually,#, 
72,communicative,communicative,#, 
73,in,in,#, 
74,a,a,#, 
75,reserved,reserved,#, 
76,way,way,#,#
77,",",",",#, 
78,and,and,#, 
79,I,I,#, 
80,understood,understand,#, 
81,that,that,#, 
82,he,he,#, 
83,meant,mean,#, 
84,a,a,#, 
85,great,great,#, 
86,deal,deal,#, 
87,more,more,#, 
88,than,than,#, 
89,that,that,#,#
90,.,.,#, 
91,In,in,#, 
92,consequence,consequence,#,#
93,",",",",#, 
94,I,I,#,#
95,’m,’m,#, 
96,inclined,incline,#, 
97,to,to,#, 
98,reserve,reserve,#, 
99,all,all,#, 
100,judgements,judgement,#,#
101,",",",",#, 
102,a,a,#, 
103,habit,habit,#, 
104,that,that,#, 
105,has,have,#, 
106,opened,open,#, 
107,up,up,#, 
108,many,many,#, 
109,curious,curious,#, 
110,natures,nature,#, 
111,to,to,#, 
112,me,I,#, 
113,and,and,#, 
114,also,also,#, 
115,made,make,#, 
116,me,I,#, 
117,the,the,#, 
118,victim,victim,#, 
119,of,of,#, 
120,not,not,#, 
121,a,a,#, 
122,few,few,#, 
123,veteran,veteran,#, 
124,bores,bore,#,#
125,.,.,#, 
126,The,the,#, 
127,abnormal,abnormal,#, 
128,mind,mind,#, 
129,is,be,#, 
130,quick,quick,#, 
131,to,to,#, 
132,detect,detect,#, 
133,and,and,#, 
134,attach,attach,#, 
135,itself,itself,#, 
136,to,to,#, 
137,this,this,#, 
138,quality,quality,#, 
139,when,when,#, 
140,it,it,#, 
141,appears,appear,#, 
142,in,in,#, 
143,a,a,#, 
144,normal,normal,#, 
145,person,person,#,#
146,",",",",#, 
147,and,and,#, 
148,so,so,#, 
149,it,it,#, 
150,came,come,#, 
151,about,about,#, 
152,that,that,#, 
153,in,in,#, 
154,college,college,#, 
155,I,I,#, 
156,was,be,#, 
157,unjustly,unjustly,#, 
158,accused,accuse,#, 
159,of,of,#, 
160,being,be,#, 
161,a,a,#, 
162,politician,politician,#,#
163,",",",",#, 
164,because,because,#, 
165,I,I,#, 
166,was,be,#, 
167,privy,privy,#, 
168,to,to,#, 
169,the,the,#, 
170,secret,secret,#, 
171,griefs,grief,#, 
172,of,of,#, 
173,wild,wild,#,#
174,",",",",#, 
175,unknown,unknown,#, 
176,men,man,#,#
177,.,.,#, 
178,Most,Most,#, 
179,of,of,#, 
180,the,the,#, 
181,confidences,confidence,#, 
182,were,be,#, 
183,unsought,unsought,#,#
184,-,-,#,#
185,frequently,frequently,#, 
186,I,I,#, 
187,have,have,#, 
188,feigned,feign,#, 
189,sleep,sleep,#,#
190,",",",",#, 
191,preoccupation,preoccupation,#,#
192,",",",",#, 
193,or,or,#, 
194,a,a,#, 
195,hostile,hostile,#, 
196,levity,levity,#, 
197,when,when,#, 
198,I,I,#, 
199,realized,realize,#, 
200,by,by,#, 
201,some,some,#, 
202,unmistakable,unmistakable,#, 
203,sign,sign,#, 
204,that,that,#, 
205,an,an,#, 
206,intimate,intimate,#, 
207,revelation,revelation,#, 
208,was,be,#, 
209,quivering,quiver,#, 
210,on,on,#, 
211,the,the,#, 
212,horizon,horizon,#,#
213,;,;,#, 
214,for,for,#, 
215,the,the,#, 
216,intimate,intimate,#, 
217,revelations,revelation,#, 
218,of,of,#, 
219,young,young,#, 
220,men,man,#,#
221,",",",",#, 
222,or,or,#, 
223,at,at,#, 
224,least,least,#, 
225,the,the,#, 
226,terms,term,#, 
227,in,in,#, 
228,which,which,#, 
229,they,they,#, 
230,express,express,#, 
231,them,they,#,#
232,",",",",#, 
233,are,be,#, 
234,usually,usually,#, 
235,plagiaristic,plagiaristic,#, 
236,and,and,#, 
237,marred,mar,#, 
238,by,by,#, 
239,obvious,obvious,#, 
240,suppressions,suppression,#,#
241,.,.,#, 
242,Reserving,reserve,#, 
243,judgements,judgement,#, 
244,is,be,#, 
245,a,a,#, 
246,matter,matter,#, 
247,of,of,#, 
248,infinite,infinite,#, 
249,hope,hope,#,#
250,.,.,#, 
251,I,I,#, 
252,am,be,#, 
253,still,still,#, 
254,a,a,#, 
255,little,little,#, 
256,afraid,afraid,#, 
257,of,of,#, 
258,missing,miss,#, 
259,something,something,#, 
260,if,if,#, 
261,I,I,#, 
262,forget,forget,#, 
263,that,that,#,#
264,",",",",#, 
265,as,as,#, 
266,my,my,#, 
267,father,father,#, 
268,snobbishly,snobbishly,#, 
269,suggested,suggest,#,#
270,",",",",#, 
271,and,and,#, 
272,I,I,#, 
273,snobbishly,snobbishly,#, 
274,repeat,repeat,#,#
275,",",",",#, 
276,a,a,#, 
277,sense,sense,#, 
278,of,of,#, 
279,the,the,#, 
280,fundamental,fundamental,#, 
281,decencies,decency,#, 
282,is,be,#, 
283,parcelled,parcel,#, 
284,out,out,#, 
285,unequally,unequally,#, 
286,at,at,#, 
287,birth,birth,#,#
288,.,.,#, 
289,And,and,#,#
290,",",",",#, 
291,after,after,#, 
292,boasting,boast,#, 
293,this,this,#, 
294,way,way,#, 
295,of,of,#, 
296,my,my,#, 
297,tolerance,tolerance,#,#
298,",",",",#, 
299,I,I,#, 
300,come,come,#, 
301,to,to,#, 
302,the,the,#, 
303,admission,admission,#, 
304,that,that,#, 
305,it,it,#, 
306,has,have,#, 
307,a,a,#, 
308,limit,limit,#,#
309,.,.,#, 
310,Conduct,Conduct,#, 
311,may,may,#, 
312,be,be,#, 
313,founded,found,#, 
314,on,on,#, 
315,the,the,#, 
316,hard,hard,#, 
317,rock,rock,#, 
318,or,or,#, 
319,the,the,#, 
320,wet,wet,#, 
321,marshes,marsh,#,#
322,",",",",#, 
323,but,but,#, 
324,after,after,#, 
325,a,a,#, 
326,certain,certain,#, 
327,point,point,#, 
328,I,I,#, 
329,do,do,#,#
330,n’t,not,#, 
331,care,care,#, 
332,what,what,#, 
333,it,it,#,#
334,’s,’s,#, 
335,founded,found,#, 
336,on,on,#,#
337,.,.,#, 
338,When,when,#, 
339,I,I,#, 
340,came,come,#, 
341,back,back,#, 
342,from,from,#, 
343,the,the,#, 
344,East,East,#, 
345,last,last,#, 
346,autumn,autumn,#, 
347,I,I,#, 
348,felt,feel,#, 
349,that,that,#, 
350,I,I,#, 
351,wanted,want,#, 
352,the,the,#, 
353,world,world,#, 
354,to,to,#, 
355,be,be,#, 
356,in,in,#, 
357,uniform,uniform,#, 
358,and,and,#, 
359,at,at,#, 
