word,definition
absurd,"wildly unreasonable, illogical, or inappropriate"
aggressive,ready or likely to attack or confront
aggressive,"pursuing one's aims and interests forcefully, sometimes unduly so."
alarming,"cause (someone) to feel frightened, disturbed, or in danger."
alarming,"Causing apprehension, fear or alarm; frightening"
amazed,greatly surprised; astonished.
amazing,causing great surprise or wonder
ambiguously,so as to be open to more than one interpretation.
ambiguously,so as to be open to doubt or uncertainty
amorphous,without a clearly defined shape or form
antecedent,a thing or event that existed before or logically precedes another.
appalling,very bad; awful.
appalling,causing shock or dismay; horrific.
apparition,"the appearance of something remarkable or unexpected, typically an image of this type."
apparition,a ghost or ghostlike image of a person.
ashen,"Someone who is ashen looks very pale, especially because they are ill, shocked, or frightened."
astonishing,extremely surprising or impressive
astounded,"If you are astounded by something, you are very shocked or surprised that it could exist or happen"
astounding,extremely surprising or impressive
asunder,into pieces
awful,extremely disagreeable or objectionable
awful,a lot of something
bad,"regretful, guilty, or ashamed about something."
bad,having a harmful effect on.
bad,failing to conform to standards of moral virtue or acceptable conduct.
bad,of poor quality or a low standard.
bad,unfavorable; adverse
baffled,To bewilder completely; to confuse or perplex. 
beast,"an animal, especially a large or dangerous four-footed one."
beautiful,pleasing the senses or mind aesthetically.
beautiful,of a very high standard; excellent
bewildered,"perplexed and confused; very puzzled, baffled"
bewitch,to influence or affect especially injuriously by witchcraft
bewitch,enchant and delight (someone)
bewitch,to cast a spell over
bizarre,Something that is bizarre is very odd and strange
bizarre,"odd, extravagant, or eccentric in style or mode"
bizarre,involving sensational contrasts or incongruities
bleak,(of a situation or future prospect) not hopeful or encouraging; unlikely to have a favorable outcome.
bleak,charmless and inhospitable; dreary
bloody,"covered, smeared, or running with blood."
blurred,unable to see or be seen clearly
brilliant,exceptionally clever or talented.
brilliant,(of light or color) very bright and radiant.
coherence,the quality of being logical and consistent.
colossal,extremely large
compulsion,the action or state of forcing or being forced to do something; constraint.
confuse,cause (someone) to become bewildered or perplexed
confused,(of a person) unable to think clearly; bewildered
confusion, the quality or state of being confused
considerable,"notably large in size, amount, or extent"
contain,have or hold (someone or something) within.
contempt,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn."
contemptuous,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn."
corroborate,"confirm or give support to (a statement, theory, or finding)"
corruption,dishonest or illegal behavior especially by powerful people 
criminal,a person who has committed a crime.
criminal,(of an action or situation) deplorable and shocking.
cruel,causing pain or suffering.
cruel,"willfully causing pain or suffering to others, or feeling no concern about it."
curious,eager to know or learn something
curious,strange or unusual
curious,eager to learn or know; inquisitive.
curious,"arousing or exciting speculation, interest, or attention through being inexplicable or highly unusual; odd; strange:"
curiously,in a way that shows eagerness to know or learn something
curiously,in a strange and unusual way
cynical,"If you describe someone as cynical, you mean they believe that people always act selfishly."
damned,"Damned is used by some people to emphasize what they are saying, especially when they are angry or frustrated."
dark,"(of a period of time or situation) characterized by tragedy, unhappiness, or unpleasantness."
dark,with little or no light.
dark,gloomily pessimistic.
dark,hidden from knowledge; mysterious
dark,suggestive of or arising from evil characteristics or forces; sinister.
dark,gloomily pessimistic
dark,a dark color or shade
dark,with little or no light
dark,suggestive of or arising from evil characteristics or forces; sinister
dark,(of a color or object) not reflecting much light; approaching black in shade.
dark,(of an expression) angry; threatening.
darken,"make or become gloomy, angry, or unhappy."
darken,make or become dark or darker.
darkness,lack of knowledge 
darkness,wickedness or evil
darkness,the state or quality of being dark
dazed,unable to think or react properly; bewildered.
dazzling,"extremely bright, especially so as to blind the eyes temporarily"
dazzling,"extremely impressive, beautiful, or skillful."
deplorably,"If you say that something is deplorable, you think that it is very bad and unacceptable."
desolate,(of a place) deserted of people and in a state of bleak and dismal emptiness.
despairing,showing the loss of all hope.
despicable,deserving hatred and contempt.
despise,"If you despise something or someone, you dislike them and have a very low opinion of them."
devil,a very wicked or cruel person.
devil,an evil spirit; a demon.
dim,not clearly recalled or formulated in the mind
dim,"(of a light, color, or illuminated object) not shining brightly or clearly"
dimly,not clear to the mind; vague
dimly,not seen clearly or in detail; indistinct
dimly,not bright; obscure from lack of light or emitted light
discordant,disagreeing or incongruous.
disembodied,separated from or existing without the body like a ghost
disembodied,Disembodied means seeming not to be attached to or to come from anyone.
disembodied,ghost-like
disembodied,Disembodied means separated from or existing without a body.
disgusted,feeling or expressing revulsion or strong disapproval.
dishonest,behaving or prone to behave in an untrustworthy or fraudulent way.
"dismount
","alight from a horse, bicycle, or other thing that one is riding."
disquiet,a feeling of anxiety or worry.
disquieting,"to take away the peace or tranquility of : disturb, alarm"
disquieting,creating feelings of anxiety or worry.
distasteful,causing dislike or disgust; offensive; unpleasant.
